,product,unit,kelembaban,tekanan,waktu,suhu,T-Squared,keterangan,D1,D2,D3,D4,Variabel Berpengaruh
0,GAA01,GITAR_AKUSTIK_0-12_FRET,0.062,25.85,21.44,151.19,3.688207600395599,In Control,0.056359789297520724,0.4289082247394367,1.9113875769305535,0.10931991910359518,Waktu
1,GAA02,GITAR_AKUSTIK_0-12_FRET,0.065,25.12,19.7,151.36,6.962571110595507,In Control,0.18774377130682218,0.12182092915481668,3.5343229301460455,3.6524122712525653,Suhu
2,GAA03,GITAR_AKUSTIK_0-12_FRET,0.06,24.6,19.89,151.43,14.356937313791803,In Control,6.125520959247719,5.6958430448206165,5.231053169694999,0.10383382832702104,Kelembaban
3,GAA04,GITAR_AKUSTIK_0-12_FRET,0.068,24.47,20.1,150.15,3.041189023062835,In Control,0.14297994617340137,1.7039266744013495,0.1044692581787956,0.17758766780670143,Tekanan
4,GAA05,GITAR_AKUSTIK_0-12_FRET,0.068,24.61,19.88,151.2,9.350237260564509,In Control,2.7216330686775425,0.9529801990260367,0.868714655249903,6.679986494858037,Suhu
5,GAA06,GITAR_AKUSTIK_0-12_FRET,0.066,24.53,21.47,149.47,11.050971625781315,In Control,0.3893844765552643,2.565016225256837,5.761520178332267,3.2851075815219444,Waktu
6,GAA07,GITAR_AKUSTIK_0-12_FRET,0.062,25.53,19.99,151.31,4.7009396412365,In Control,0.6458991578120141,0.0007262009652038159,3.1440987787938495,0.565768315715026,Waktu
7,GAA08,GITAR_AKUSTIK_0-12_FRET,0.069,25.5,20.39,150.21,4.156443857693008,In Control,3.690101552096054,1.315936897841821,0.16760681019034562,0.7281547088710996,Kelembaban
8,GAA09,GITAR_AKUSTIK_0-12_FRET,0.064,25.78,20.4,151.46,4.016424240110395,In Control,0.8783580282833756,0.8242731182006953,0.32925983176724083,2.8559388113922646,Suhu
9,GAA10,GITAR_AKUSTIK_0-12_FRET,0.069,24.45,20.19,151.45,14.806521930320883,In Control,6.814532254614809,1.3838349510798675,0.011360465275142673,11.526931797342796,Suhu
10,GAA11,GITAR_AKUSTIK_0-12_FRET,0.063,24.79,20.2,151.62,6.697685842711307,In Control,0.058032707148854,2.131054124951877,1.2949103274311247,2.8714358606797794,Suhu
11,GAA12,GITAR_AKUSTIK_0-12_FRET,0.064,25.89,21.26,150.73,3.3602208745970166,In Control,0.44933807810014326,1.2096358155712643,1.900109870306333,0.009944369331889025,Waktu
12,GAA13,GITAR_AKUSTIK_0-12_FRET,0.061,25.59,20.31,151.39,3.7903349968015543,In Control,0.9983532029219853,0.0009773902232232956,1.5806344444083789,0.2857463293689002,Waktu
13,GAA14,GITAR_AKUSTIK_0-12_FRET,0.062,25.98,19.78,151.49,8.323745303801099,In Control,0.16158000677839013,1.087645601473521,5.191900020908359,1.313659678892309,Waktu
14,GAA15,GITAR_AKUSTIK_0-12_FRET,0.064,24.58,20.79,151.32,5.331418475655656,In Control,0.03241971568851287,3.2041121570691096,0.13265641968691,1.827335869307467,Tekanan
15,GAA16,GITAR_AKUSTIK_0-12_FRET,0.061,26.25,20.97,150.88,4.330766237034424,In Control,0.5435608102048937,1.9574412129926246,0.040332443138919594,0.3377311699615606,Tekanan
16,GAA17,GITAR_AKUSTIK_0-12_FRET,0.062,25.54,20.17,150.97,2.9331410119538797,In Control,1.2189561317193054,0.0013941233187781954,1.8015574099326506,0.0014861565085011463,Waktu
17,GAA18,GITAR_AKUSTIK_0-12_FRET,0.069,24.78,19.81,151.33,12.89139617164419,In Control,5.940808424137035,0.17567897260118848,0.8852829254825831,10.236420679783881,Suhu
18,GAA19,GITAR_AKUSTIK_0-12_FRET,0.062,26.08,19.77,150.19,9.858852088515377,In Control,3.893264506121482,1.5903833332546107,4.6513926614672405,2.2379784596303764,Waktu
19,GAA20,GITAR_AKUSTIK_0-12_FRET,0.069,26.01,21.28,150.59,15.040972766225083,In Control,11.224252131723627,4.987772417458061,5.177345367400253,2.3060620188534475,Kelembaban
20,GAA21,GITAR_AKUSTIK_0-12_FRET,0.069,25.44,19.9,150.2,4.089529632454721,In Control,2.3695630762040567,1.085803670687132,0.4278016067484316,0.797766153339222,Kelembaban
21,GAA22,GITAR_AKUSTIK_0-12_FRET,0.064,24.81,20.24,151.32,4.356180803758329,In Control,0.000660705311823051,1.5506071175247045,0.7199961273102149,2.018315120312569,Suhu
22,GAA23,GITAR_AKUSTIK_0-12_FRET,0.069,24.51,19.77,150.34,5.082156570507785,In Control,0.9536711691665438,1.0456678803620223,0.8064052121722431,1.4156530033988375,Suhu
23,GAA24,GITAR_AKUSTIK_0-12_FRET,0.068,24.72,20.78,150.56,4.351873397166866,In Control,2.318658204984102,0.61817568632841,1.203514291654141,1.374601206751044,Kelembaban
24,GAA25,GITAR_AKUSTIK_0-12_FRET,0.07,24.83,19.96,150.12,4.163359135206909,In Control,2.568925853497546,0.021848047442960983,0.09530984578996549,1.1267260918108586,Kelembaban
25,GAA26,GITAR_AKUSTIK_0-12_FRET,0.063,25.82,20.99,150.56,1.841505121854597,In Control,0.10522283945660793,0.6167888298568933,0.4156619752550794,0.3070317303943524,Tekanan
26,GAA27,GITAR_AKUSTIK_0-12_FRET,0.061,25.17,20.93,150.69,3.94901046572903,In Control,3.097934974510788,1.012892151844477,0.04001790707096475,0.9358711555390711,Kelembaban
27,GAA28,GITAR_AKUSTIK_0-12_FRET,0.065,25.31,19.94,150.36,1.6205716424694376,In Control,0.28166780834634686,0.0031768052121794454,1.5700724961564583,0.02290560895069249,Waktu
28,GAA29,GITAR_AKUSTIK_0-12_FRET,0.069,25.97,20.81,149.39,9.294507231298976,In Control,2.249135077346814,4.695017811181989,1.9357129244007982,0.7465934036351687,Tekanan
29,GAA30,GITAR_AKUSTIK_0-12_FRET,0.062,26.26,19.9,149.66,14.30303824707238,In Control,5.8883692002117165,2.7308886644378134,3.323541567858726,6.703401250215182,Suhu
30,GAA31,GITAR_AKUSTIK_0-12_FRET,0.07,25.39,19.92,151.44,18.364805801470393,In Control,13.165925743887051,1.2276308765841613,0.3379498003571122,14.087873327316363,Suhu
31,GAA32,GITAR_AKUSTIK_0-12_FRET,0.069,24.57,19.78,151.08,10.630840426261479,In Control,3.825039672413216,0.785779849623097,0.9311616221568482,7.256478163138837,Suhu
32,GAA33,GITAR_AKUSTIK_0-12_FRET,0.062,24.61,19.79,151.53,11.374907581185687,In Control,1.7045009736650218,4.04390593683093,4.75023039872244,1.488859355639768,Waktu
33,GAA34,GITAR_AKUSTIK_0-12_FRET,0.066,26.03,20.2,150.11,3.7907961776783856,In Control,0.1481856714894323,3.3066853922376067,0.2825982375046978,0.12079725568231581,Tekanan
34,GAA35,GITAR_AKUSTIK_0-12_FRET,0.069,26.03,21.32,151.04,19.25443751819967,In Control,15.656283352873542,5.186507683912431,5.334177213780279,5.899517010322366,Kelembaban
